"gene","median","hazard_ratio","p_value","coefficient"
"LINC01587",2.39435321023611,1.04101435770675,0.768129635758726,0.040195581763226
"IGF2-AS",5.53059970381799,1.08228621826633,0.562018690755272,0.0790756724915457
"RRN3P2",16.8350558592489,0.751322482879178,0.0368326505151936,-0.285920314753061
"SIGLEC5",9.61387022159971,0.894182595916784,0.411234760818276,-0.111845278672068
"DLEU2L",7.23823183602412,0.668649834620574,0.00341401199554836,-0.402494771996685
"PINK1-AS",236.557837744057,0.936907914512429,0.632332198701891,-0.0651702785076504
"SPART-AS1",2.40600895582159,0.938458610111664,0.641909454144663,-0.0635165261000111
"LINC00544",0,0.817485078574811,0.141302423942649,-0.201522628885184
"KIAA0087",0,0.791624546519921,0.110406450792174,-0.233668056992799
"LINC00029",0,0.798391804253352,0.184404501748005,-0.225155819251308
"FAM182A",3.48358791536733,0.854100275547821,0.249388195691423,-0.157706673412337
"TTTY1",0,1.57619250192129,0.650169531063273,0.455012129865626
"H19",2712.92720630847,1.100120668744,0.482776595808762,0.0954198726460305
"TTTY9B",0,1.25298545798842,0.751331636365607,0.225529070091129
"LINC00470",1.25667992332326,0.928327183080797,0.584688118669643,-0.0743710403584234
"KAAG1",0,1.06622003207038,0.643425402586584,0.0641197135158839
"LINC01558",4.88566544741765,0.964591009866259,0.790810107635922,-0.0360510914547049
"LINC00525",3.87187764801295,0.960755196464322,0.768689406865581,-0.0400356407937341
"TTTY7",0,1.13974714766351,0.854056619260062,0.130806437509912
"TTTY7B",0,5.41384104421992,0.0932355940595809,1.6889588306244
"PART1",63.4934484157483,0.918150198353296,0.530514094008815,-0.0853942869811429
"LINC00467",223.159212418339,1.15600604444367,0.286483678480706,0.144970998994019
"ZFHX2-AS1",19.2480716465727,0.817506290542446,0.142101815662713,-0.201496681387189
"OBSCN-AS1",29.8504649475748,0.961473941391335,0.772933919523447,-0.0392878163576629
"LINC01931",0,1.029780438814,0.854247314879619,0.0293456133184055
"CCDC140",0.652221968795556,0.983936536482002,0.905212209661678,-0.0161938794549237
"LINC01116",196.037669088082,1.19431868872963,0.193458772360131,0.177575887840455
"SNHG16",1441.26198737818,1.25046559197497,0.102176059954905,0.223515955543125
"IGF2BP2-AS1",9.57439490950218,1.63441459037452,0.000353137442092189,0.491284691533877
"LINC01600",2.51078925651008,1.03645064851908,0.793428426730306,0.0358020381750682
"SMAD5-AS1",7.32550242654874,0.838223570675875,0.195126341496174,-0.176470423299719
"ZNF667-AS1",69.8913796934188,0.939309268227907,0.64548057322347,-0.062610494865536
"MIR202HG",0,1.00477409304656,0.975607245426054,0.00476273320529904
"LINC00905",0,0.688713026415799,0.0391421074233629,-0.37293060211087
"LINC00917",0,0.910493292377319,0.515695719420682,-0.0937687468077624
"LINC01620",0,0.969721042968778,0.862360411450254,-0.0307468334133503
"TPT1-AS1",219.060386219172,1.02649525405734,0.848147759679671,0.0261503340441825
"LINC00208",0,1.07387888954342,0.790305585059375,0.0712772239398816
"SHANK2-AS3",0,0.978485178849149,0.901414952811261,-0.0217496390679257
"MIR31HG",79.6498582326804,1.02347741914161,0.865243544031863,0.023206063483655
"C11orf40",0,0.822151671150351,0.368646343435153,-0.195830386165267
"MIR4435-2HG",956.706473340648,1.46804244602101,0.00526453606008805,0.383929843957566
"CCDC13-AS1",2.93409345237713,0.92063167409359,0.543806370703969,-0.0826952422669146
"DIRC1",3.90709889796679,0.971886562321,0.834013878466766,-0.0285161867633765
"SNHG11",340.920574131693,1.00541969080367,0.968318613286833,0.00540505712898081
"MIR1-1HG",0,1.41918261531026,0.0105028936467138,0.350081082857694
"GRIK1-AS1",1.07519826523133,0.748834684568892,0.0348090729158203,-0.289237034687319
"SNHG29",9116.63647305995,1.24437069804745,0.108402766439602,0.218629938711275
"TMEM51-AS1",44.8398896661904,0.982740730957276,0.898514657219798,-0.0174099464648896
"FAM182B",18.8080406401689,0.790599042671285,0.0863865269054746,-0.234964339009122
"LINC01106",26.9450835612018,1.43397577977459,0.00879169408525346,0.360450852058913
"DLEU1",294.789928725205,1.16360462615442,0.267431337591973,0.151522623356705
"TTTY14",12.4326312003759,0.721120950595353,0.0178503912409315,-0.32694840181991
"LINC00303",0.556966294364248,0.971591408578467,0.83340371116744,-0.0288199244431667
"MIR7-3HG",0,0.935785506100576,0.636371074801742,-0.0663689889147012
"TYMSOS",43.7493667479719,1.01328786110418,0.922741147446123,0.0132003518328035
"LINC01561",7.29917942013663,1.00154455104587,0.990985515141315,0.00154335945373304
"DLGAP1-AS1",162.514073044686,1.31353713868191,0.0468296468517545,0.27272360433979
"LINC00469",0,1.12812341794944,0.501049222073043,0.120555560166438
"ZFAS1",3346.12203725962,1.31653045049756,0.044227660705387,0.27499982957474
"CASC2",40.902152248967,1.04212337837905,0.762475787886239,0.0412603416759869
"FAM87B",8.04087786917864,1.10587670406703,0.459548963439612,0.100638417742145
"TMEM78",0,0.942250049886612,0.693693728855654,-0.0594845938907578
"TENM3-AS1",85.5782894178306,1.30930119759923,0.0485025158240455,0.269493557937802
"FAM27E5",0,0.743251637443026,0.51238294361427,-0.296720614021222
"FAM230I",0,1.02654788965216,0.87514917448566,0.0262016097273011
"LINC00314",0,1.1103062748648,0.715237515874819,0.10463590056603
"C5orf64",0,0.987123295548117,0.924127387968658,-0.0129603278488085
"LMO7DN",0.759072238850174,0.831108283363565,0.175279661534127,-0.184995187725664
"ADORA2A-AS1",5.12822669335177,0.792290762685485,0.0885119719597005,-0.232826829938574
"LINC00324",98.3760134490286,0.843395063192965,0.215299172749776,-0.17031979114547
